"synthetic_data_1","synthetic_data_2"
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
5,0
3,0
6,1
3,0
11,1
17,4
18,10
45,9
40,13
69,23
108,38
90,25
72,44
168,38
105,41
90,30
117,47
71,28
53,20
49,19
32,7
8,5
23,6
10,1
12,5
5,0
2,1
0,0
2,0
3,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
5,0
5,0
4,4
12,0
6,5
7,5
25,7
25,12
31,15
51,11
64,14
48,26
56,13
54,14
34,10
65,26
55,18
31,11
26,7
14,5
12,8
7,3
5,2
4,1
4,0
2,0
0,0
3,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
3,0
5,2
6,0
6,3
19,2
16,6
8,15
22,13
54,19
59,16
125,27
95,36
108,51
62,57
65,29
74,53
86,38
67,29
53,20
36,20
26,20
28,8
20,7
10,5
13,2
4,1
1,1
4,2
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
1,0
1,0
2,0
7,1
3,1
12,5
23,7
21,11
11,9
37,13
47,10
44,16
34,30
59,20
73,14
43,5
43,11
27,10
27,17
19,13
12,6
8,7
11,2
6,1
4,1
7,1
3,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
5,0
2,0
7,2
6,4
22,7
14,7
33,8
56,17
53,24
59,30
135,46
91,34
94,40
122,54
174,42
44,32
51,26
45,22
41,10
22,17
27,8
18,5
5,1
5,2
3,0
2,1
6,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
1,0
4,0
5,1
8,0
8,2
12,7
24,8
33,11
38,12
35,28
93,16
46,18
56,15
40,31
79,21
38,29
45,13
21,10
33,5
25,7
14,3
5,5
1,1
5,2
3,0
3,0
2,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
